review,rating,date,bank,source
I'm sad guys what are you doing? Why did you add the screenshot restriction to the app? You just made it worse it was a great value to us. You need to rethink it. i will change the 1 star rating when you resolve the issue.,1,2025-03-22,CBE,Google Play
"Old version was very friendly to use. Now we can't see the #Reason The #transaction history (very limited) and now it crash every time it's opened. More over, the last update prevents us from taking #screenshots. Thanks for the developers as they are getting more stupid than ever.",1,2025-03-21,CBE,Google Play
What an absolutely terrible update. No screenshots and you still have this stupid restriction on developer options. WHAT ABOUT THOSE OF US WHO ARE ACTUALLY DEVELOPERS!!!!!! At this point telebirr just wins the game 100%. CBE. Do. Better!,1,2025-03-21,CBE,Google Play
how do you disable screenshots on a banking app you are very unserious people,1,2025-03-21,CBE,Google Play
"Not Good, too lame to use",1,2025-03-21,CBE,Google Play
Taking away the screenshot of the receipt is just silly. Worse is tbe download button putting a copy of the screenshot - which you prevented to be taken - in tbe downloads folder where we cant attach directly from Whatsapp. Millions of people use the screenshot as proof of payment / transfer yet you make that harder for everyone? I have every user contacts the developer or manager who made this awful decision.,1,2025-03-20,CBE,Google Play
the update is unneeded,1,2025-03-19,CBE,Google Play
The app need update it always crash,1,2025-03-13,CBE,Google Play
Asela,1,2025-03-13,CBE,Google Play
Unstatisfied with the new update keeps crashing every now and then and even though i haven't reached the max txn per day still refuses to transfer...probably going to change my bank if it's not fixed asap,1,2025-03-10,CBE,Google Play
It is one of the disappointed Bank you don't suppose to include Ethiopian on your name you don't deserve it.,1,2025-03-10,CBE,Google Play
"I have been using CBE App for long, but recently it has started crashing repeatedly and even my phone is reporting that the app has bugs and tells me to wait the developer to fix these bugs.",1,2025-03-09,CBE,Google Play
Why it asks me Update repeatedly as soon as I download it !!,1,2025-03-09,CBE,Google Play
Due to connection problem,1,2025-03-07,CBE,Google Play
Two step verification update is fake (meaningless). Why because the app gives you an option of to use pin while requesting two step verification step. 🔐 This updated app is not differ than the previous one in case of security & safegaurding users.👹👹💀💀 The other features of the app are best and easy to use it.⭐️⭐️⭐️⭐️⭐️,1,2025-03-06,CBE,Google Play
The app crashes too many times. It's a buggy app,1,2025-03-03,CBE,Google Play
So slow with Internet,1,2025-03-01,CBE,Google Play
It don't work,1,2025-02-28,CBE,Google Play
"It's a shame,it can't performe well,you guys can't even fix a bug, It's getting unusable, shame shame shame 😡",1,2025-02-28,CBE,Google Play
1 star because I have to visit my bank for new installation of the app and reactivation takes about 45 to 60 minutes with there long queue and system failures. Learn from telebire app and give options to customers to apt out of this ridiculous security feature. Second why is there no customization in the settings for displaying which account I want displayed in the first section rather that slide to my main account every time. You are making us pay a monthly subscription. Bare minimum is not it,1,2025-02-26,CBE,Google Play
Crashing frequently every time I try to log in.. it's so annoying,1,2025-02-25,CBE,Google Play
Constantly crashing after new update,1,2025-02-24,CBE,Google Play
"Why can't we use this app with Developer Mode turned on, when other big international banks apps allow it?",1,2025-02-22,CBE,Google Play
Why is it so hard to use this app why don't you make it simple like other apps sometimes it doesn't function right,1,2025-02-22,CBE,Google Play
couldnt update the app,1,2025-02-22,CBE,Google Play
"Too much commission and service charges, not fair at all this is stealing",1,2025-02-21,CBE,Google Play
Not working normally,1,2025-02-20,CBE,Google Play
"It lags before showing the transaction and you have to use the one in the sms message , why doesn't it work on the app it just says loading",1,2025-02-18,CBE,Google Play
"It's very good in reminding the account numbers you have been used, but Need to show recipient history whenever you want to present it.or it has to have a search on options for a spesfic time you want to look for receipts with out going for account details at bank. if you lost your receipt without downloading it and need to look sometime a while you can't get in simple search on the app.",1,2025-02-15,CBE,Google Play
"It crashes a lot; it doesn't work at all sometimes. By far, it is the worst mobile banking app I have ever used.",1,2025-02-15,CBE,Google Play
አለሚቱ ምስጋነዉ,1,2025-02-13,CBE,Google Play
This app now not open what's problem? Please solve it,1,2025-02-13,CBE,Google Play
በቅርቡ ችግር ተፈጥሯል ፣ Developer Option ካልተዘጋ አይሰራም፣ Developer Option ከተዘጋ ደግሞ ስልካችን ፍጥነት ለመታዘዝ ይዘገያል ፣ ከዚህ አማራጭ ሌላ ብትጠቀሙ ባይ ነኝ :: Android ላይ,1,2025-02-12,CBE,Google Play
It used to be better in the previous. But after the recent update it keeps crashing as soon as it logs in.. it needs to be fixed.,1,2025-02-11,CBE,Google Play
Can't even load our transaction history!!,1,2025-02-11,CBE,Google Play
CBE,1,2025-02-11,CBE,Google Play
It is stop working !,1,2025-02-10,CBE,Google Play
It shut down without warning,1,2025-02-10,CBE,Google Play
በፊት ጥሩነበር አሁን ምኑን ነካችሁት ተበላሽቷል አይሰራም,1,2025-02-08,CBE,Google Play
Recent transactions doesn't load properly sometimes . And also when transferring to someone sometimes it says failed and but already transferred which might cause to double transfer,1,2025-02-07,CBE,Google Play
"It used to work properly, but not anymore. I used to use the app from abroad; but these days, it kept saying ""unable to connect"" when I tried to check my balance and do transactions.",1,2025-02-07,CBE,Google Play
Awash birr pro,1,2025-02-07,CBE,Google Play
Good,1,2025-02-07,CBE,Google Play
"After the new update I'm struggling to use this app,it suddenly crush or close automatically pls fix this problem",1,2025-02-05,CBE,Google Play
The app is crashing several times it's really annoying and sometimes it's says failed during different operations ?????? Please fix it!?,1,2025-02-04,CBE,Google Play
New update new version not working,1,2025-02-03,CBE,Google Play
Too poor comparing to other countries.,1,2025-02-03,CBE,Google Play
Waww,1,2025-02-02,CBE,Google Play
"After the last two update, I am facing the worst experience with this app.",1,2025-02-02,CBE,Google Play
Now it's crashing like crazy. It doesn't even open after a recent update.,1,2025-02-01,CBE,Google Play
without any reason it shows white screen and can't make transfers. Then when I went to branch then they reply go to the branch where you open your account.,1,2025-02-01,CBE,Google Play
It used to be the best bank app in Ethiopia. But now using it is a terrible experience. For every transaction it shows an error message. Making a simple payment requires 5 to 6 trials to complete.,1,2025-01-31,CBE,Google Play
it does not connect,1,2025-01-31,CBE,Google Play
The worst I had to flight back to fix my app it need you to go back every 4 month not reliable for foreigners,1,2025-01-31,CBE,Google Play
This should run for worst app of the year,1,2025-01-31,CBE,Google Play
Very bad,1,2025-01-31,CBE,Google Play
Bad,1,2025-01-31,CBE,Google Play
No manage beneficiary for my app,1,2025-01-30,CBE,Google Play
The latest updates crushes repeatedly on my Redmi Note 12 pro plus. If you could correct the issue.,1,2025-01-30,CBE,Google Play
Not worek recipient !!,1,2025-01-29,CBE,Google Play
"I’ve been using the CBE mobile banking app, and overall, I appreciate its features. However, I’ve noticed that when I turn on the developer options on my device, the app stops functioning properly. It would be great if you could look into this issue, as I often need to access developer settings for other applications. Thank you for your attention to this matter!",1,2025-01-29,CBE,Google Play
"If you are living outside of Ethiopia you better not deposit large money into your mobile account. It can kick you off any time for some small reasons and the only way you can recover is either to go to the bank in person or you need to have access to your phone which is impossible if you are living outside Ethiopia. The only option you will be left with is, you can't use your money. At least it would be better if you can recover your account using email or other verification ...",1,2025-01-29,CBE,Google Play
good app,1,2025-01-28,CBE,Google Play
Turning off the developers' options :( This is getting out of hand. We don't need to go through that...,1,2025-01-28,CBE,Google Play
I don't have an idea why our country soft wares needs some beroucracy?? How many peoples knew that about developer options N why is the new app forceing to disable that?? in my side i didn't get the apps as of b4.,1,2025-01-28,CBE,Google Play
Ti,1,2025-01-27,CBE,Google Play
Alert The device developer Mode is turned on. Please turn off Developer Mode from device settings and try again to use this app OK What is this ?,1,2025-01-27,CBE,Google Play
"አፕልኬሽኑ የተላከልኝን ብር ቶሎ አያሳይም ። ከ 24 ሰዓት በላይ ይቆያል። ይህ ለቢዝነስ በጣም አስቸጋሪ ሆኖብኛል። መፍትሔ አላችሁ ? This application is too slow & inactive to notify & record transactions, & hence I faced difficulty using it for businesses. would you fix it?",1,2025-01-25,CBE,Google Play
"The app is simply trash, the only thing that's keeping them afloat is that the woods for the other Ethiopian banks is even trashier",1,2025-01-25,CBE,Google Play
Data problems,1,2025-01-24,CBE,Google Play
it's not working properly,1,2025-01-24,CBE,Google Play
Make an option to send statement by email,1,2025-01-24,CBE,Google Play
It is simple and very accurate system,1,2025-01-24,CBE,Google Play
እብድ ባነክ፣ ይሄ ዝምብሎ Update ብቻ የሚለውን እና Update የማያደርገውን ሲስተማችሁን አስተካክሉት። አናዳጆች!,1,2025-01-23,CBE,Google Play
very inconvenience to use. unreliable and needs upgrades!!!,1,2025-01-23,CBE,Google Play
The worst bank in Ethiopia!,1,2025-01-22,CBE,Google Play
Annoying app Very poor,1,2025-01-22,CBE,Google Play
"Why force-disable Developer Options in the latest update? I get that it's a security precaution, but it's overkill. Plenty of other financial apps do not require it and it's sometimes necessary for debugging/experimental reasons",1,2025-01-21,CBE,Google Play
Excellent app,1,2025-01-20,CBE,Google Play
"It was very convenient and cool to use, but for some reason it hasn't been working for me lately.",1,2025-01-20,CBE,Google Play
Breaks after a week,1,2025-01-19,CBE,Google Play
This application is an unreliable application. Please do not use it. Hackers will enter through the application and take the certificate from CBE.,1,2025-01-18,CBE,Google Play
Saadahmuu,1,2025-01-18,CBE,Google Play
The new update is seems force enable developer options on setting. And please fix the problem on iphones it only works for few days every time it get maintained at branches,1,2025-01-17,CBE,Google Play
This app is the worst the current release doesn't work when developers mode is on and the transaction errors make you transfer money twice with errors,1,2025-01-13,CBE,Google Play
Developer mode?????,1,2025-01-12,CBE,Google Play
ዳኒል ትዛዙ,1,2025-01-11,CBE,Google Play
"I am facing difficulties related to network issues, while I have a good internet connection.",1,2025-01-11,CBE,Google Play
"Alert The device developer Mode is turned on. You can't use this app, Please turn off Developer Mode and try again. OK Why reason?",1,2025-01-11,CBE,Google Play
8 expriance,1,2025-01-08,CBE,Google Play
Why do i have to close the developer option to use it. After the update it's not even working unless I close the developer option,1,2025-01-07,CBE,Google Play
"You can not track your transaction history with correct date, time and order",1,2025-01-07,CBE,Google Play
"Keep saying ""unable to connect"" after a normal phone update. Please update the app to match latest phone ""updates""",1,2025-01-07,CBE,Google Play
It's simple and easy to use,1,2025-01-06,CBE,Google Play
"i,ts not working, not good",1,2025-01-06,CBE,Google Play
Please Add A dark theme😭😭,1,2025-01-06,CBE,Google Play
I have been using it for a years and it is beautiful in i the time have been using it,1,2025-01-06,CBE,Google Play
Not functional when i need a transactions,1,2025-01-05,CBE,Google Play
Best,1,2025-01-05,CBE,Google Play
Is not working for last update,1,2025-01-05,CBE,Google Play
Why is it asking me for developer option,1,2025-01-05,CBE,Google Play
"We need more update soon! once I updated it, it authomatically stop working😭",1,2025-01-05,CBE,Google Play
good,1,2025-01-04,CBE,Google Play
Why did this application stopped working at the moment,1,2025-01-04,CBE,Google Play
"The worst update seen in the bank industry for mobile banking. If you're unable to make it smooth and reliable at the same time , return it to previous version. It shows that you don't have the best expertise like other banks in the country.",1,2025-01-04,CBE,Google Play
It's not working,1,2025-01-03,CBE,Google Play
What's your problem with developer option ???,1,2025-01-02,CBE,Google Play
i can't access this app without turning off the developer option mode 🤬👎,1,2025-01-02,CBE,Google Play
Always their is a mal function,1,2025-01-02,CBE,Google Play
It slow and unused app,1,2025-01-02,CBE,Google Play
Not working,1,2025-01-02,CBE,Google Play
Ok,1,2025-01-02,CBE,Google Play
"The not allowing the app while ""developer options"" is on needs to be fixed! Why the hell is an app telling me what to do with my own OS??? This is an unnecessary fix that needs to be fixed!!!",1,2025-01-01,CBE,Google Play
"The inconvenience of this app is that it requires developer options to be turned off. This hinders my ability to customize my phone as some of the customization can only be done in the developer options. Also, it didn't have this requirement before, so why now? And please return it how it was because this should not be an issue. Also, when a transaction is completed before it used to allow me to save the image of the completed transaction, now it doesn't, so please fix that also.",1,2025-01-01,CBE,Google Play
Worst update ever. It asked to disable the developer's option which they don't have any authority over. Most useless update ever. I wish I could give it a 0 star if it was possible. Why do you care about my phone's settings? Stupid developers. Should Switch to other banks.,1,2025-01-01,CBE,Google Play
It ask me your developer mode is on and its not working for me???,1,2025-01-01,CBE,Google Play
The last update is useless!!,1,2024-12-31,CBE,Google Play
Security,1,2024-12-31,CBE,Google Play
Its good app,1,2024-12-31,CBE,Google Play
The update isn't working,1,2024-12-31,CBE,Google Play
"No text, no update.....",1,2024-12-31,CBE,Google Play
It's really helpful,1,2024-12-31,CBE,Google Play
Weak update ! . b/c it stops when I want to set two step verification on. And it is only applicable if developer options are on. Why ??? Please tell me the reason 🙏,1,2024-12-31,CBE,Google Play
Even it is a problem to update the app. Fix the issue first,1,2024-12-30,CBE,Google Play
Any,1,2024-12-30,CBE,Google Play
Student,1,2024-12-29,CBE,Google Play
the worst app i have ever seen,1,2024-12-28,CBE,Google Play
Why we can't make a transfer with foreign banks?,1,2024-12-28,CBE,Google Play
The worst update,1,2024-12-28,CBE,Google Play
Difficult to update,1,2024-12-27,CBE,Google Play
You should be boa b/c the app active by self so please 🙏 arrange now and for activation service l was pay 20 birr this is unfair,1,2024-12-27,CBE,Google Play
Not used fully amount,1,2024-12-25,CBE,Google Play
CBE my device don't work,1,2024-12-23,CBE,Google Play
Lot of errors.,1,2024-12-22,CBE,Google Play
"This is the worst update ever, the older version was better. It has so much bug.",1,2024-12-20,CBE,Google Play
Sometimes stack.,1,2024-12-20,CBE,Google Play
The most worst update. It even doesn't let you know ur balance. It doesn't respond quickly.,1,2024-12-20,CBE,Google Play
"Before the new version, the app was fast and merits 4 ⭐. However, following the upgrade, the app is slow and takes time to reload. Apps are useless without speed, so make them work.",1,2024-12-19,CBE,Google Play
It might be fake be aware (it’s not working),1,2024-12-17,CBE,Google Play
This bank is one of worst bank stealing poor peoples money 😭,1,2024-12-17,CBE,Google Play
Even if i had a balance of >0 i couldn't Even transfer any of my balance starting from 0-10257.,1,2024-12-17,CBE,Google Play
"It is keeping to say"" this app is rooted you can't use it ""what is the problem",1,2024-12-17,CBE,Google Play
"I am so disappointed because the application doesn't clearly show how many birr it will charge for every transaction rather than just deducted the money , as a user we should have the right to know the amount of money that is going to be deducted. It is a very deceptive tactic , it should be improved immediately.",1,2024-12-15,CBE,Google Play
Transfer to telebirr fee above 10 birr,1,2024-12-15,CBE,Google Play
It takes ur money out of no where!!!!,1,2024-12-14,CBE,Google Play
Waw,1,2024-12-09,CBE,Google Play
Its weak application,1,2024-12-09,CBE,Google Play
Its not work as expectations,1,2024-12-07,CBE,Google Play
Not that much good!,1,2024-12-07,CBE,Google Play
COmmercial,1,2024-12-05,CBE,Google Play
Goood,1,2024-12-02,CBE,Google Play
"1.I have to log out and wait for more minutes to make another transfer . 2. I get charged for a not satisfactory transfer amount. 3.On some days I see some transactions with different amount of transfers which I don't do . 4.I can not transfer more than 20K. and charger for every transfer is not fair 5.And l wish to know ""For Ethiopians where exactly is there country to live in""",1,2024-11-26,CBE,Google Play
milyon,1,2024-11-24,CBE,Google Play
Less functional,1,2024-11-22,CBE,Google Play
Ok,1,2024-11-19,CBE,Google Play
"feature to add beneficiary account from older version isn't available on this one, and the greeting notification that pops out during every log in is boring.",1,2024-11-17,CBE,Google Play
"Sometimes, it is very difficult to open",1,2024-11-15,CBE,Google Play
ሲስተሙ ምንም አይሰራም ያአቸግራል 😔😔 ብስታካከል መላካም ነው,1,2024-11-14,CBE,Google Play
No fast,1,2024-11-12,CBE,Google Play
I like this app but it's done not work so fix it please!!!,1,2024-11-06,CBE,Google Play
Good,1,2024-11-05,CBE,Google Play
It shows a limited number of transaction history. And it does show transactions history in the order of arrival,1,2024-11-04,CBE,Google Play
less active,1,2024-10-26,CBE,Google Play
ፒን ቁጥር ካስገባሁ በኋላ የሚመጣው ስከሪን ተቀማጭ ባላነሴን አያሳይም!,1,2024-10-23,CBE,Google Play
App is not working,1,2024-10-19,CBE,Google Play
This good mobile banking app ever used but it says this device is rooted. You cannot run this app on this device,1,2024-10-18,CBE,Google Play
try to update it,1,2024-10-18,CBE,Google Play
"It is a service that is not expected from such a large institution. I saw that your work is very complicated. The user does not understand well your application. In general, you have many problems. This application is not convenient for the end user. For instance I can't access my account from abroad what I depsited amount and transfer from my account to any any one .It is a shame.",1,2024-10-16,CBE,Google Play
"Cannot access with no reason,",1,2024-10-16,CBE,Google Play
"It's not secure enough,you don't have biometric option",1,2024-10-14,CBE,Google Play
-The app only shows a limited record amount of transaction (20) - it crashes again and again,1,2024-10-14,CBE,Google Play
"This app is not set up for diaspora users. It works fine until you needed a new verification code, or you change your cell phone and try to use the app on the new phone. You will not be able to get the verification key that it is asking for just for changing your phone. It requires you to go the nearest branch to get the verification key. For me this will be travelling to Ethiopia from USA just to get this code. Even my sister - a joint aact holder & has my Power of Attorney, could not help me.",1,2024-10-11,CBE,Google Play
Useless,1,2024-10-07,CBE,Google Play
Unexpected apps becouse this is bad unfortunately error,1,2024-10-06,CBE,Google Play
App is not working for days now.,1,2024-10-03,CBE,Google Play
Nice,1,2024-09-30,CBE,Google Play
Good,1,2024-09-29,CBE,Google Play
aags hshja,1,2024-09-28,CBE,Google Play
Very special app,1,2024-09-27,CBE,Google Play
Best,1,2024-09-27,CBE,Google Play
This app sometimes 🛑,1,2024-09-26,CBE,Google Play
not working well,1,2024-09-24,CBE,Google Play
Remzi,1,2024-09-22,CBE,Google Play
Abdurahman Abdalkarim,1,2024-09-19,CBE,Google Play
Has not show recent exact information. Some transactions are included and others excluded. Bad experiance. Always I got in truble by thinking the correct balance.,1,2024-09-19,CBE,Google Play
Very bad application not working properly every time,1,2024-09-18,CBE,Google Play
"It's ask me update then i was going to my branch they updated my mobile banking but still not working!""",1,2024-09-18,CBE,Google Play
It ask KYC for the 3rd time in one moths what wrong with your system. If this thing keep going most of your customers start using other banks including My family and friends.,1,2024-09-17,CBE,Google Play
09mikaa.il,1,2024-09-17,CBE,Google Play
"How can I trust a bank that doesn't have a cyber crime reporting mechanism. I recently traveled out of the country. After a week I got a text message stating that more than 1000bir withdrawn from my account without my knowledge. When I tried to download the receipt, it doesn't even work. I only know it was transfered to a Wegagen bank account via a POS machine. Please be carefull and take a lesson from me. 😡😡😡",1,2024-09-16,CBE,Google Play
If there was a lesser rating I'd have given it to this app! What's with all this service charges? With the amount they're charging for everything I'm afraid we'll be paying to even look in their direction.,1,2024-09-12,CBE,Google Play
I hate apps and all management of cbe,1,2024-09-12,CBE,Google Play
The fast and easy to use app there is nothing to deny aboutt that... but it has a serious issue on showing transaction history like if i send or receive money i ll find the transaction history after a day. When the sms message is not working at some days the issue get worse like we dont have an idea how much money we have received. I dont this this issue is hard to fix for you hope you will fix it on the next update....the app deserve 4stars tbh but i just want you to see this seriously thankyou,1,2024-09-11,CBE,Google Play
"What a trash app! Trash! Trash! Trash! Whenever you want to use the app after once you uninstall it, or receive it from someone else, it will ask you for a new verification. Again, after you clear the cache and data, you will be required to ask a verification code from the nearby bank physically too! What a shame! Never use this app! Your account pass code is unsecure in this app. STOP using this app! I Do!",1,2024-09-10,CBE,Google Play
Not working out of Ethiopia this week mine is,1,2024-09-10,CBE,Google Play
The app only shows 25 transaction. The most frustrating it ever. Other banks gives you months of transactions ans statement. What a joke,1,2024-09-09,CBE,Google Play
አዋሽ,1,2024-09-08,CBE,Google Play
It's the worst! I just transfer from my cbe account in to my tele birr account for urgent case but unfortunately it holds. And there customer service workers told me it will be returned in to my cbe account after 3 or 5 working days if its not credited in to my telebirr account. How's that working? This bank is a pioneer in from the country. It's really annoying this happens for second time. Please amend your network services. Am totally annoyed by cbe.,1,2024-09-07,CBE,Google Play
Good application to use especially it helps me while I buy and sell goods. Thanks,1,2024-09-07,CBE,Google Play
Transaction problems 😔,1,2024-09-06,CBE,Google Play
"I have never such a disgusting app in my life , i swear it doesn't even work properly",1,2024-09-05,CBE,Google Play
Obsaa.Abdallaa,1,2024-09-05,CBE,Google Play
Bad,1,2024-09-04,CBE,Google Play
"The app doesn't have 1. mini statement service In my opinion, I don't have to go to cbe branch to get mini statements and transactions I have done and pay for it.why? 2. Recent transaction The app doesn't store numerous or enough recent transactions, even it doesn't store what stored properly sometimes.",1,2024-09-02,CBE,Google Play
I can't describe enough how helpful it was. It's best version than ever mobile banking services.,1,2024-09-01,CBE,Google Play
ሀውልቱ ታረቀኝ,1,2024-08-30,CBE,Google Play
It says you are debited 20birr but it transfers another 10 birr with it I don't understand if it's under their rules,1,2024-08-29,CBE,Google Play
It's a best application to exchange our money in a best speed and time saving way,1,2024-08-27,CBE,Google Play
"Still needs development on several features.... For example - bank statements available online. The text feature of available balance and debited/credited notifications is very old school and involves too much digital trail. App doesn't always work, could be due to network issues in Ethiopia though. Another major issue is an error message is displayed when transferring from CBE to other banks. Ive almost lost a few thousands doing this once. Always cross check your balances.",1,2024-08-27,CBE,Google Play
"This app has several issues based on my experience. Below are the problems that I encountered: 1. The app frequently crashes. 2. It only shows a limited transaction record history (25 transactions). 3. You can't access the transaction records after 8:00 pm and on Sundays. 4. It displays a ""payment failed"" message. It would be greatly appreciated if you could address these issues",1,2024-08-25,CBE,Google Play
Verey excellent,1,2024-08-24,CBE,Google Play
it is not well functional. It always sluggish and poor application.,1,2024-08-24,CBE,Google Play
A useless application that doesn't work.,1,2024-08-23,CBE,Google Play
Can not synchronize,1,2024-08-22,CBE,Google Play
Government Bank,1,2024-08-21,CBE,Google Play
good,1,2024-08-19,CBE,Google Play
Absolutely terrible App,1,2024-08-19,CBE,Google Play
Good,1,2024-08-18,CBE,Google Play
"No proper transaction is being recorded or presented on your the UI, the main features of the app is not working properly yet they have so many service in the app",1,2024-08-17,CBE,Google Play
Best,1,2024-08-16,CBE,Google Play
Thanks to the number of branches. Mobile banking is not very satisfactory.,1,2024-08-14,CBE,Google Play
it is not good it's like eka eka chewata,1,2024-08-14,CBE,Google Play
You're genuine,1,2024-08-13,CBE,Google Play
Ok,1,2024-08-12,CBE,Google Play
ለምንድነው ብር ከተላላክን በኋላ Transaction history የማያሳየን ?,1,2024-08-11,CBE,Google Play
"The app only work on working hour from 8 am-5pm it dont work at night or early in the morning, why do we need it then...try to fix it.",1,2024-08-10,CBE,Google Play
Not wotking properly & shows payment failed but already sent z found . this is so bad for country bank app😂,1,2024-08-08,CBE,Google Play
Fahti Kamaal,1,2024-08-07,CBE,Google Play
Very poor and very disgusting,1,2024-08-06,CBE,Google Play
"Always says can't synchronize, while I have active internet access",1,2024-08-05,CBE,Google Play
its very fast and active app,1,2024-08-03,CBE,Google Play
"All those service interruptions... , When you update it stops working and to start using an new appliance you need to go to the bank to activate it... uff...",1,2024-08-01,CBE,Google Play
It's not appropriate for Play store,1,2024-08-01,CBE,Google Play
Poor app please upgrade it Example add transfering to telebirr agent,1,2024-08-01,CBE,Google Play
Usless,1,2024-07-28,CBE,Google Play
its a disaster really,1,2024-07-26,CBE,Google Play
It is not fast,1,2024-07-25,CBE,Google Play
No safaricom network,1,2024-07-23,CBE,Google Play
CBE,1,2024-07-23,CBE,Google Play
its not working properly boring app ever,1,2024-07-23,CBE,Google Play
ሀሪፍ,1,2024-07-19,CBE,Google Play
It's good app for me,1,2024-07-16,CBE,Google Play
ABDISA MOHAMMED I can get 4hf my friend how are you feeling I hope my friend is coming up with you tomorrow at the same place you can get it done before the election results I think we need to we can do it together my friend how are things going for my friend,1,2024-07-15,CBE,Google Play
"Very poor, not connect properly, deduct money with out report",1,2024-07-15,CBE,Google Play
"Yesterday, system hackers have taken money out of my CBE account due to problems related with the CBE BIRR SMS and internet banking systems.You must further increase security of the system.I am willing to give further details if necessary. System hackers have unlocked the programning of cash transfer, I understood.",1,2024-07-15,CBE,Google Play
unable to access my account in the US.,1,2024-07-13,CBE,Google Play
about inactive solutions want be!!!,1,2024-07-13,CBE,Google Play
I like all service,1,2024-07-10,CBE,Google Play
ከፒን ይልቅ በአሻራ እንዲከፈት ማረግ አለባቹሁ።,1,2024-07-10,CBE,Google Play
