review,rating,date,bank,source,sentiment,sentiment_score
why the app telling me to turn of developer options please fix it.,1,2025-05-07,CBE,Google Play,negative,0.9990994930267334
needs improvement,1,2025-05-06,CBE,Google Play,negative,0.9966731071472168
i miss the old one i couldn't send my mony to other bank..,1,2025-05-06,CBE,Google Play,negative,0.995843231678009
If any developer is reading this please fix the screenshot functionality or at least the download button should work flawlessly without me touching it twenty times.,1,2025-05-05,CBE,Google Play,negative,0.9975224137306213
wow,1,2025-05-05,CBE,Google Play,positive,0.999592125415802
it's very low quality application,1,2025-05-04,CBE,Google Play,negative,0.9996594190597534
አዛ,1,2025-05-04,CBE,Google Play,negative,0.6970565915107727
okay 👍 but sometimes busy,1,2025-05-03,CBE,Google Play,negative,0.8515542149543762
the worst commercial company that fails to do even the most normal things again and and again.,1,2025-05-03,CBE,Google Play,negative,0.9997990727424622
Unreliable!,1,2025-05-02,CBE,Google Play,negative,0.9997379183769226
worest app like that bank for security and network access,1,2025-05-02,CBE,Google Play,negative,0.9927296042442322
not bad not good,1,2025-05-02,CBE,Google Play,negative,0.9715350866317749
the worst Mobile banking i have ever seen in my life,1,2025-04-26,CBE,Google Play,negative,0.9997807145118713
the Best,1,2025-04-26,CBE,Google Play,positive,0.9998332262039185
to other bank is bad,1,2025-04-25,CBE,Google Play,negative,0.9997149109840393
amazing,1,2025-04-19,CBE,Google Play,positive,0.999875545501709
why removing screenshot feature why?,1,2025-04-18,CBE,Google Play,negative,0.9981147050857544
i can't take screenshot,1,2025-04-18,CBE,Google Play,negative,0.9897894263267517
Can't scan/recognize other banks' Interoperable QR Codes,1,2025-04-13,CBE,Google Play,negative,0.9983273148536682
"less network, specially to make fee for utility purpose",1,2025-04-11,CBE,Google Play,negative,0.994688868522644
very very nice aplication,1,2025-04-08,CBE,Google Play,positive,0.9998292922973633
bring back the screenshot feature.,1,2025-04-05,CBE,Google Play,positive,0.9942916631698608
best app to experience him that to smooth transaction among the customers,1,2025-04-05,CBE,Google Play,positive,0.9985142350196838
"I don't understand the reason, why I need to disable developer options to access the app, it has no security risks nor does it hinder the app's functionalities. This goes out to the dev, I hope your life is filled with inconveniences.",1,2025-04-02,CBE,Google Play,negative,0.9986600875854492
Dear cbe this app is not comparable with 21century and pls try to solve it.💀💀💀,1,2025-04-01,CBE,Google Play,negative,0.9995038509368896
in this update why screenshoot is disabled now it's not working,1,2025-03-28,CBE,Google Play,negative,0.9996315240859985
"The latest update prevents taking screenshots, which is really annoying! please allow us to take screenshots! we need it for evidence (particularly, in case of transfer failure!).",1,2025-03-27,CBE,Google Play,negative,0.9977697134017944
Doesn't work properly. It crashes some many times. commercial bank of Ethiopia not only the application but also sending money to own CBE birr doesn't get your money in your bank account. forcefully you must wait 3-5 days to get your money back to your account. walk up CBE the world is going to decentralized finance.,1,2025-03-26,CBE,Google Play,negative,0.9995678067207336
It crashes multiple times everytime you launch it. Fix it. Edit: crash fixed but screenshots has been disabled. I don't know who thought this was a good idea.,1,2025-03-26,CBE,Google Play,negative,0.9995493292808533
"I fails mid transaction, No screenshot, download don't work, link shared not working bring back the old app this is usless",1,2025-03-26,CBE,Google Play,negative,0.9996533393859863
some times it is difficult to get reciepts for the payment made,1,2025-03-23,CBE,Google Play,negative,0.9993370175361633
this app is best,1,2025-03-23,CBE,Google Play,positive,0.9989839196205139
I'm sad guys what are you doing? Why did you add the screenshot restriction to the app? You just made it worse it was a great value to us. You need to rethink it. i will change the 1 star rating when you resolve the issue.,1,2025-03-22,CBE,Google Play,negative,0.9993658661842346
"Old version was very friendly to use. Now we can't see the #Reason The #transaction history (very limited) and now it crash every time it's opened. More over, the last update prevents us from taking #screenshots. Thanks for the developers as they are getting more stupid than ever.",1,2025-03-21,CBE,Google Play,negative,0.9987834095954895
What an absolutely terrible update. No screenshots and you still have this stupid restriction on developer options. WHAT ABOUT THOSE OF US WHO ARE ACTUALLY DEVELOPERS!!!!!! At this point telebirr just wins the game 100%. CBE. Do. Better!,1,2025-03-21,CBE,Google Play,positive,0.9841668605804443
how do you disable screenshots on a banking app you are very unserious people,1,2025-03-21,CBE,Google Play,negative,0.9976205229759216
"Not Good, too lame to use",1,2025-03-21,CBE,Google Play,negative,0.9997883439064026
Taking away the screenshot of the receipt is just silly. Worse is tbe download button putting a copy of the screenshot - which you prevented to be taken - in tbe downloads folder where we cant attach directly from Whatsapp. Millions of people use the screenshot as proof of payment / transfer yet you make that harder for everyone? I have every user contacts the developer or manager who made this awful decision.,1,2025-03-20,CBE,Google Play,negative,0.9997187256813049
the update is unneeded,1,2025-03-19,CBE,Google Play,negative,0.9976237416267395
The app need update it always crash,1,2025-03-13,CBE,Google Play,negative,0.9979516863822937
Asela,1,2025-03-13,CBE,Google Play,positive,0.9828375577926636
Unstatisfied with the new update keeps crashing every now and then and even though i haven't reached the max txn per day still refuses to transfer...probably going to change my bank if it's not fixed asap,1,2025-03-10,CBE,Google Play,negative,0.9992684721946716
It is one of the disappointed Bank you don't suppose to include Ethiopian on your name you don't deserve it.,1,2025-03-10,CBE,Google Play,negative,0.9991734623908997
"I have been using CBE App for long, but recently it has started crashing repeatedly and even my phone is reporting that the app has bugs and tells me to wait the developer to fix these bugs.",1,2025-03-09,CBE,Google Play,negative,0.9997072815895081
Why it asks me Update repeatedly as soon as I download it !!,1,2025-03-09,CBE,Google Play,negative,0.9959967136383057
Due to connection problem,1,2025-03-07,CBE,Google Play,negative,0.9959508180618286
Two step verification update is fake (meaningless). Why because the app gives you an option of to use pin while requesting two step verification step. 🔐 This updated app is not differ than the previous one in case of security & safegaurding users.👹👹💀💀 The other features of the app are best and easy to use it.⭐️⭐️⭐️⭐️⭐️,1,2025-03-06,CBE,Google Play,negative,0.8035405278205872
The app crashes too many times. It's a buggy app,1,2025-03-03,CBE,Google Play,negative,0.9997268319129944
So slow with Internet,1,2025-03-01,CBE,Google Play,negative,0.9990552067756653
It don't work,1,2025-02-28,CBE,Google Play,negative,0.9997726082801819
"It's a shame,it can't performe well,you guys can't even fix a bug, It's getting unusable, shame shame shame 😡",1,2025-02-28,CBE,Google Play,negative,0.9996347427368164
1 star because I have to visit my bank for new installation of the app and reactivation takes about 45 to 60 minutes with there long queue and system failures. Learn from telebire app and give options to customers to apt out of this ridiculous security feature. Second why is there no customization in the settings for displaying which account I want displayed in the first section rather that slide to my main account every time. You are making us pay a monthly subscription. Bare minimum is not it,1,2025-02-26,CBE,Google Play,negative,0.9993307590484619
Crashing frequently every time I try to log in.. it's so annoying,1,2025-02-25,CBE,Google Play,negative,0.9994563460350037
Constantly crashing after new update,1,2025-02-24,CBE,Google Play,negative,0.9982088804244995
"Why can't we use this app with Developer Mode turned on, when other big international banks apps allow it?",1,2025-02-22,CBE,Google Play,negative,0.9983769655227661
Why is it so hard to use this app why don't you make it simple like other apps sometimes it doesn't function right,1,2025-02-22,CBE,Google Play,negative,0.9993847608566284
couldnt update the app,1,2025-02-22,CBE,Google Play,negative,0.9958498477935791
"Too much commission and service charges, not fair at all this is stealing",1,2025-02-21,CBE,Google Play,negative,0.9996604919433594
Not working normally,1,2025-02-20,CBE,Google Play,negative,0.9995996356010437
"It lags before showing the transaction and you have to use the one in the sms message , why doesn't it work on the app it just says loading",1,2025-02-18,CBE,Google Play,negative,0.9993646740913391
"It's very good in reminding the account numbers you have been used, but Need to show recipient history whenever you want to present it.or it has to have a search on options for a spesfic time you want to look for receipts with out going for account details at bank. if you lost your receipt without downloading it and need to look sometime a while you can't get in simple search on the app.",1,2025-02-15,CBE,Google Play,negative,0.9966446161270142
"It crashes a lot; it doesn't work at all sometimes. By far, it is the worst mobile banking app I have ever used.",1,2025-02-15,CBE,Google Play,negative,0.9997912049293518
አለሚቱ ምስጋነዉ,1,2025-02-13,CBE,Google Play,negative,0.7850590348243713
This app now not open what's problem? Please solve it,1,2025-02-13,CBE,Google Play,negative,0.9984076619148254
በቅርቡ ችግር ተፈጥሯል ፣ Developer Option ካልተዘጋ አይሰራም፣ Developer Option ከተዘጋ ደግሞ ስልካችን ፍጥነት ለመታዘዝ ይዘገያል ፣ ከዚህ አማራጭ ሌላ ብትጠቀሙ ባይ ነኝ :: Android ላይ,1,2025-02-12,CBE,Google Play,negative,0.9661839604377747
It used to be better in the previous. But after the recent update it keeps crashing as soon as it logs in.. it needs to be fixed.,1,2025-02-11,CBE,Google Play,negative,0.9991856217384338
Can't even load our transaction history!!,1,2025-02-11,CBE,Google Play,negative,0.9994427561759949
CBE,1,2025-02-11,CBE,Google Play,positive,0.9966009855270386
It is stop working !,1,2025-02-10,CBE,Google Play,negative,0.9996010661125183
It shut down without warning,1,2025-02-10,CBE,Google Play,negative,0.9854583740234375
በፊት ጥሩነበር አሁን ምኑን ነካችሁት ተበላሽቷል አይሰራም,1,2025-02-08,CBE,Google Play,negative,0.9200406670570374
Recent transactions doesn't load properly sometimes . And also when transferring to someone sometimes it says failed and but already transferred which might cause to double transfer,1,2025-02-07,CBE,Google Play,negative,0.99915611743927
"It used to work properly, but not anymore. I used to use the app from abroad; but these days, it kept saying ""unable to connect"" when I tried to check my balance and do transactions.",1,2025-02-07,CBE,Google Play,negative,0.9991911053657532
Awash birr pro,1,2025-02-07,CBE,Google Play,negative,0.9963383674621582
Good,1,2025-02-07,CBE,Google Play,positive,0.9998161196708679
"After the new update I'm struggling to use this app,it suddenly crush or close automatically pls fix this problem",1,2025-02-05,CBE,Google Play,negative,0.9996976852416992
The app is crashing several times it's really annoying and sometimes it's says failed during different operations ?????? Please fix it!?,1,2025-02-04,CBE,Google Play,negative,0.9997221827507019
New update new version not working,1,2025-02-03,CBE,Google Play,negative,0.999659538269043
Too poor comparing to other countries.,1,2025-02-03,CBE,Google Play,negative,0.9996059536933899
Waww,1,2025-02-02,CBE,Google Play,negative,0.9088252782821655
"After the last two update, I am facing the worst experience with this app.",1,2025-02-02,CBE,Google Play,negative,0.999794065952301
Now it's crashing like crazy. It doesn't even open after a recent update.,1,2025-02-01,CBE,Google Play,negative,0.9995834231376648
without any reason it shows white screen and can't make transfers. Then when I went to branch then they reply go to the branch where you open your account.,1,2025-02-01,CBE,Google Play,negative,0.9968906044960022
It used to be the best bank app in Ethiopia. But now using it is a terrible experience. For every transaction it shows an error message. Making a simple payment requires 5 to 6 trials to complete.,1,2025-01-31,CBE,Google Play,negative,0.9970723390579224
it does not connect,1,2025-01-31,CBE,Google Play,negative,0.9997904896736145
The worst I had to flight back to fix my app it need you to go back every 4 month not reliable for foreigners,1,2025-01-31,CBE,Google Play,negative,0.9997552037239075
This should run for worst app of the year,1,2025-01-31,CBE,Google Play,negative,0.9997993111610413
Very bad,1,2025-01-31,CBE,Google Play,negative,0.9997884631156921
Bad,1,2025-01-31,CBE,Google Play,negative,0.999782383441925
No manage beneficiary for my app,1,2025-01-30,CBE,Google Play,negative,0.999631404876709
The latest updates crushes repeatedly on my Redmi Note 12 pro plus. If you could correct the issue.,1,2025-01-30,CBE,Google Play,negative,0.9994816184043884
Not worek recipient !!,1,2025-01-29,CBE,Google Play,negative,0.6950615644454956
"I’ve been using the CBE mobile banking app, and overall, I appreciate its features. However, I’ve noticed that when I turn on the developer options on my device, the app stops functioning properly. It would be great if you could look into this issue, as I often need to access developer settings for other applications. Thank you for your attention to this matter!",1,2025-01-29,CBE,Google Play,negative,0.9523299336433411
"If you are living outside of Ethiopia you better not deposit large money into your mobile account. It can kick you off any time for some small reasons and the only way you can recover is either to go to the bank in person or you need to have access to your phone which is impossible if you are living outside Ethiopia. The only option you will be left with is, you can't use your money. At least it would be better if you can recover your account using email or other verification ...",1,2025-01-29,CBE,Google Play,negative,0.9994357228279114
good app,1,2025-01-28,CBE,Google Play,positive,0.9998493194580078
Turning off the developers' options :( This is getting out of hand. We don't need to go through that...,1,2025-01-28,CBE,Google Play,negative,0.9956076741218567
I don't have an idea why our country soft wares needs some beroucracy?? How many peoples knew that about developer options N why is the new app forceing to disable that?? in my side i didn't get the apps as of b4.,1,2025-01-28,CBE,Google Play,negative,0.9992456436157227
Ti,1,2025-01-27,CBE,Google Play,positive,0.9913840293884277
Alert The device developer Mode is turned on. Please turn off Developer Mode from device settings and try again to use this app OK What is this ?,1,2025-01-27,CBE,Google Play,negative,0.99681156873703
"አፕልኬሽኑ የተላከልኝን ብር ቶሎ አያሳይም ። ከ 24 ሰዓት በላይ ይቆያል። ይህ ለቢዝነስ በጣም አስቸጋሪ ሆኖብኛል። መፍትሔ አላችሁ ? This application is too slow & inactive to notify & record transactions, & hence I faced difficulty using it for businesses. would you fix it?",1,2025-01-25,CBE,Google Play,negative,0.9996609687805176
"The app is simply trash, the only thing that's keeping them afloat is that the woods for the other Ethiopian banks is even trashier",1,2025-01-25,CBE,Google Play,negative,0.999788224697113
Data problems,1,2025-01-24,CBE,Google Play,negative,0.9996092915534973
it's not working properly,1,2025-01-24,CBE,Google Play,negative,0.9997792840003967
Make an option to send statement by email,1,2025-01-24,CBE,Google Play,negative,0.9493923783302307
It is simple and very accurate system,1,2025-01-24,CBE,Google Play,positive,0.999847412109375
እብድ ባነክ፣ ይሄ ዝምብሎ Update ብቻ የሚለውን እና Update የማያደርገውን ሲስተማችሁን አስተካክሉት። አናዳጆች!,1,2025-01-23,CBE,Google Play,negative,0.8708980083465576
very inconvenience to use. unreliable and needs upgrades!!!,1,2025-01-23,CBE,Google Play,negative,0.9996125102043152
The worst bank in Ethiopia!,1,2025-01-22,CBE,Google Play,negative,0.9997764229774475
Annoying app Very poor,1,2025-01-22,CBE,Google Play,negative,0.9997809529304504
"Why force-disable Developer Options in the latest update? I get that it's a security precaution, but it's overkill. Plenty of other financial apps do not require it and it's sometimes necessary for debugging/experimental reasons",1,2025-01-21,CBE,Google Play,negative,0.9979910850524902
Excellent app,1,2025-01-20,CBE,Google Play,positive,0.9998356103897095
"It was very convenient and cool to use, but for some reason it hasn't been working for me lately.",1,2025-01-20,CBE,Google Play,negative,0.8924981355667114
Breaks after a week,1,2025-01-19,CBE,Google Play,negative,0.9532126784324646
This application is an unreliable application. Please do not use it. Hackers will enter through the application and take the certificate from CBE.,1,2025-01-18,CBE,Google Play,negative,0.9993547797203064
Saadahmuu,1,2025-01-18,CBE,Google Play,negative,0.9790335297584534
The new update is seems force enable developer options on setting. And please fix the problem on iphones it only works for few days every time it get maintained at branches,1,2025-01-17,CBE,Google Play,positive,0.7807759046554565
This app is the worst the current release doesn't work when developers mode is on and the transaction errors make you transfer money twice with errors,1,2025-01-13,CBE,Google Play,negative,0.9996973276138306
Developer mode?????,1,2025-01-12,CBE,Google Play,negative,0.995884120464325
ዳኒል ትዛዙ,1,2025-01-11,CBE,Google Play,negative,0.7850590348243713
"I am facing difficulties related to network issues, while I have a good internet connection.",1,2025-01-11,CBE,Google Play,negative,0.8891944289207458
"Alert The device developer Mode is turned on. You can't use this app, Please turn off Developer Mode and try again. OK Why reason?",1,2025-01-11,CBE,Google Play,negative,0.9970587491989136
8 expriance,1,2025-01-08,CBE,Google Play,negative,0.742670476436615
Why do i have to close the developer option to use it. After the update it's not even working unless I close the developer option,1,2025-01-07,CBE,Google Play,negative,0.9997721314430237
"You can not track your transaction history with correct date, time and order",1,2025-01-07,CBE,Google Play,negative,0.9983684420585632
"Keep saying ""unable to connect"" after a normal phone update. Please update the app to match latest phone ""updates""",1,2025-01-07,CBE,Google Play,negative,0.9996213912963867
It's simple and easy to use,1,2025-01-06,CBE,Google Play,positive,0.9997555613517761
"i,ts not working, not good",1,2025-01-06,CBE,Google Play,negative,0.9998045563697815
Please Add A dark theme😭😭,1,2025-01-06,CBE,Google Play,positive,0.9205663204193115
I have been using it for a years and it is beautiful in i the time have been using it,1,2025-01-06,CBE,Google Play,positive,0.9997625946998596
Not functional when i need a transactions,1,2025-01-05,CBE,Google Play,negative,0.9996778964996338
Best,1,2025-01-05,CBE,Google Play,positive,0.9997941851615906
Is not working for last update,1,2025-01-05,CBE,Google Play,negative,0.9989091157913208
Why is it asking me for developer option,1,2025-01-05,CBE,Google Play,negative,0.9979903697967529
"We need more update soon! once I updated it, it authomatically stop working😭",1,2025-01-05,CBE,Google Play,negative,0.9997543692588806
good,1,2025-01-04,CBE,Google Play,positive,0.9998161196708679
Why did this application stopped working at the moment,1,2025-01-04,CBE,Google Play,negative,0.9997424483299255
"The worst update seen in the bank industry for mobile banking. If you're unable to make it smooth and reliable at the same time , return it to previous version. It shows that you don't have the best expertise like other banks in the country.",1,2025-01-04,CBE,Google Play,negative,0.9997628331184387
It's not working,1,2025-01-03,CBE,Google Play,negative,0.9997857213020325
What's your problem with developer option ???,1,2025-01-02,CBE,Google Play,negative,0.9991196990013123
i can't access this app without turning off the developer option mode 🤬👎,1,2025-01-02,CBE,Google Play,negative,0.9775353074073792
Always their is a mal function,1,2025-01-02,CBE,Google Play,negative,0.9996755123138428
It slow and unused app,1,2025-01-02,CBE,Google Play,negative,0.9996582269668579
Not working,1,2025-01-02,CBE,Google Play,negative,0.9997778534889221
Ok,1,2025-01-02,CBE,Google Play,positive,0.9997851252555847
"The not allowing the app while ""developer options"" is on needs to be fixed! Why the hell is an app telling me what to do with my own OS??? This is an unnecessary fix that needs to be fixed!!!",1,2025-01-01,CBE,Google Play,negative,0.9998024106025696
"The inconvenience of this app is that it requires developer options to be turned off. This hinders my ability to customize my phone as some of the customization can only be done in the developer options. Also, it didn't have this requirement before, so why now? And please return it how it was because this should not be an issue. Also, when a transaction is completed before it used to allow me to save the image of the completed transaction, now it doesn't, so please fix that also.",1,2025-01-01,CBE,Google Play,negative,0.9995642304420471
Worst update ever. It asked to disable the developer's option which they don't have any authority over. Most useless update ever. I wish I could give it a 0 star if it was possible. Why do you care about my phone's settings? Stupid developers. Should Switch to other banks.,1,2025-01-01,CBE,Google Play,negative,0.9998212456703186
It ask me your developer mode is on and its not working for me???,1,2025-01-01,CBE,Google Play,negative,0.9996711015701294
The last update is useless!!,1,2024-12-31,CBE,Google Play,negative,0.9997901320457458
Security,1,2024-12-31,CBE,Google Play,positive,0.9965950846672058
Its good app,1,2024-12-31,CBE,Google Play,positive,0.9998613595962524
The update isn't working,1,2024-12-31,CBE,Google Play,negative,0.9997337460517883
"No text, no update.....",1,2024-12-31,CBE,Google Play,negative,0.9989455342292786
It's really helpful,1,2024-12-31,CBE,Google Play,positive,0.9998189806938171
Weak update ! . b/c it stops when I want to set two step verification on. And it is only applicable if developer options are on. Why ??? Please tell me the reason 🙏,1,2024-12-31,CBE,Google Play,negative,0.9996737241744995
Even it is a problem to update the app. Fix the issue first,1,2024-12-30,CBE,Google Play,negative,0.999527096748352
Any,1,2024-12-30,CBE,Google Play,positive,0.9676826596260071
Student,1,2024-12-29,CBE,Google Play,positive,0.9856825470924377
the worst app i have ever seen,1,2024-12-28,CBE,Google Play,negative,0.999790370464325
Why we can't make a transfer with foreign banks?,1,2024-12-28,CBE,Google Play,negative,0.9979678988456726
The worst update,1,2024-12-28,CBE,Google Play,negative,0.9997891783714294
Difficult to update,1,2024-12-27,CBE,Google Play,negative,0.9997279047966003
You should be boa b/c the app active by self so please 🙏 arrange now and for activation service l was pay 20 birr this is unfair,1,2024-12-27,CBE,Google Play,negative,0.9997192025184631
Not used fully amount,1,2024-12-25,CBE,Google Play,negative,0.999546229839325
CBE my device don't work,1,2024-12-23,CBE,Google Play,negative,0.999734103679657
Lot of errors.,1,2024-12-22,CBE,Google Play,negative,0.9993113279342651
"This is the worst update ever, the older version was better. It has so much bug.",1,2024-12-20,CBE,Google Play,negative,0.9997972846031189
Sometimes stack.,1,2024-12-20,CBE,Google Play,negative,0.9173989295959473
The most worst update. It even doesn't let you know ur balance. It doesn't respond quickly.,1,2024-12-20,CBE,Google Play,negative,0.9997528195381165
"Before the new version, the app was fast and merits 4 ⭐. However, following the upgrade, the app is slow and takes time to reload. Apps are useless without speed, so make them work.",1,2024-12-19,CBE,Google Play,negative,0.9991064667701721
It might be fake be aware (it’s not working),1,2024-12-17,CBE,Google Play,negative,0.9994915723800659
This bank is one of worst bank stealing poor peoples money 😭,1,2024-12-17,CBE,Google Play,negative,0.9992907047271729
Even if i had a balance of >0 i couldn't Even transfer any of my balance starting from 0-10257.,1,2024-12-17,CBE,Google Play,negative,0.9987291693687439
"It is keeping to say"" this app is rooted you can't use it ""what is the problem",1,2024-12-17,CBE,Google Play,positive,0.9084505438804626
"I am so disappointed because the application doesn't clearly show how many birr it will charge for every transaction rather than just deducted the money , as a user we should have the right to know the amount of money that is going to be deducted. It is a very deceptive tactic , it should be improved immediately.",1,2024-12-15,CBE,Google Play,negative,0.9984982013702393
Transfer to telebirr fee above 10 birr,1,2024-12-15,CBE,Google Play,negative,0.9715496301651001
It takes ur money out of no where!!!!,1,2024-12-14,CBE,Google Play,negative,0.9982123374938965
Waw,1,2024-12-09,CBE,Google Play,negative,0.7346178889274597
Its weak application,1,2024-12-09,CBE,Google Play,negative,0.9996856451034546
Its not work as expectations,1,2024-12-07,CBE,Google Play,negative,0.9967843294143677
Not that much good!,1,2024-12-07,CBE,Google Play,negative,0.9997987151145935
COmmercial,1,2024-12-05,CBE,Google Play,negative,0.9959623217582703
Goood,1,2024-12-02,CBE,Google Play,negative,0.9943867921829224
"1.I have to log out and wait for more minutes to make another transfer . 2. I get charged for a not satisfactory transfer amount. 3.On some days I see some transactions with different amount of transfers which I don't do . 4.I can not transfer more than 20K. and charger for every transfer is not fair 5.And l wish to know ""For Ethiopians where exactly is there country to live in""",1,2024-11-26,CBE,Google Play,negative,0.9992608428001404
milyon,1,2024-11-24,CBE,Google Play,positive,0.9962282180786133
Less functional,1,2024-11-22,CBE,Google Play,negative,0.9997671246528625
Ok,1,2024-11-19,CBE,Google Play,positive,0.9997851252555847
"feature to add beneficiary account from older version isn't available on this one, and the greeting notification that pops out during every log in is boring.",1,2024-11-17,CBE,Google Play,negative,0.9994866847991943
"Sometimes, it is very difficult to open",1,2024-11-15,CBE,Google Play,negative,0.9993867874145508
ሲስተሙ ምንም አይሰራም ያአቸግራል 😔😔 ብስታካከል መላካም ነው,1,2024-11-14,CBE,Google Play,negative,0.9239576458930969
No fast,1,2024-11-12,CBE,Google Play,negative,0.9815400242805481
I like this app but it's done not work so fix it please!!!,1,2024-11-06,CBE,Google Play,negative,0.997734785079956
Good,1,2024-11-05,CBE,Google Play,positive,0.9998161196708679
It shows a limited number of transaction history. And it does show transactions history in the order of arrival,1,2024-11-04,CBE,Google Play,negative,0.9768218398094177
less active,1,2024-10-26,CBE,Google Play,negative,0.9994578957557678
ፒን ቁጥር ካስገባሁ በኋላ የሚመጣው ስከሪን ተቀማጭ ባላነሴን አያሳይም!,1,2024-10-23,CBE,Google Play,positive,0.9892830848693848
App is not working,1,2024-10-19,CBE,Google Play,negative,0.9997467398643494
This good mobile banking app ever used but it says this device is rooted. You cannot run this app on this device,1,2024-10-18,CBE,Google Play,positive,0.969990074634552
try to update it,1,2024-10-18,CBE,Google Play,negative,0.9985365867614746
"It is a service that is not expected from such a large institution. I saw that your work is very complicated. The user does not understand well your application. In general, you have many problems. This application is not convenient for the end user. For instance I can't access my account from abroad what I depsited amount and transfer from my account to any any one .It is a shame.",1,2024-10-16,CBE,Google Play,negative,0.9995642304420471
"Cannot access with no reason,",1,2024-10-16,CBE,Google Play,negative,0.9994827508926392
"It's not secure enough,you don't have biometric option",1,2024-10-14,CBE,Google Play,negative,0.9996253252029419
-The app only shows a limited record amount of transaction (20) - it crashes again and again,1,2024-10-14,CBE,Google Play,negative,0.999650239944458
"This app is not set up for diaspora users. It works fine until you needed a new verification code, or you change your cell phone and try to use the app on the new phone. You will not be able to get the verification key that it is asking for just for changing your phone. It requires you to go the nearest branch to get the verification key. For me this will be travelling to Ethiopia from USA just to get this code. Even my sister - a joint aact holder & has my Power of Attorney, could not help me.",1,2024-10-11,CBE,Google Play,negative,0.9949235320091248
Useless,1,2024-10-07,CBE,Google Play,negative,0.9997991919517517
Unexpected apps becouse this is bad unfortunately error,1,2024-10-06,CBE,Google Play,negative,0.9988136291503906
App is not working for days now.,1,2024-10-03,CBE,Google Play,negative,0.9971845746040344
Nice,1,2024-09-30,CBE,Google Play,positive,0.9998552799224854
Good,1,2024-09-29,CBE,Google Play,positive,0.9998161196708679
aags hshja,1,2024-09-28,CBE,Google Play,positive,0.6030285358428955
Very special app,1,2024-09-27,CBE,Google Play,positive,0.9997159838676453
Best,1,2024-09-27,CBE,Google Play,positive,0.9997941851615906
This app sometimes 🛑,1,2024-09-26,CBE,Google Play,negative,0.93929123878479
not working well,1,2024-09-24,CBE,Google Play,negative,0.9997866749763489
Remzi,1,2024-09-22,CBE,Google Play,negative,0.7439942955970764
Abdurahman Abdalkarim,1,2024-09-19,CBE,Google Play,positive,0.970058262348175
Has not show recent exact information. Some transactions are included and others excluded. Bad experiance. Always I got in truble by thinking the correct balance.,1,2024-09-19,CBE,Google Play,negative,0.9994696974754333
Very bad application not working properly every time,1,2024-09-18,CBE,Google Play,negative,0.9997959733009338
"It's ask me update then i was going to my branch they updated my mobile banking but still not working!""",1,2024-09-18,CBE,Google Play,negative,0.9993274211883545
It ask KYC for the 3rd time in one moths what wrong with your system. If this thing keep going most of your customers start using other banks including My family and friends.,1,2024-09-17,CBE,Google Play,negative,0.9994754195213318
09mikaa.il,1,2024-09-17,CBE,Google Play,positive,0.5633986592292786
