review,rating,date,bank,source,sentiment,sentiment_score,clean_review,themes
It is one of the disappointed Bank you don't suppose to include Ethiopian on your name you don't deserve it.,1,2025-03-10,CBE,Google Play,negative,0.9991734623908995,disappointed bank suppose include ethiopian deserve,other
"I have been using CBE App for long, but recently it has started crashing repeatedly and even my phone is reporting that the app has bugs and tells me to wait the developer to fix these bugs.",1,2025-03-09,CBE,Google Play,negative,0.999707281589508,cbe app long recently start crash repeatedly phone report app bug tell wait developer fix bug,performance
Why it asks me Update repeatedly as soon as I download it !!,1,2025-03-09,CBE,Google Play,negative,0.9959967136383056,ask update repeatedly soon download,other
Due to connection problem,1,2025-03-07,CBE,Google Play,negative,0.9959508180618286,connection problem,other
Two step verification update is fake (meaningless). Why because the app gives you an option of to use pin while requesting two step verification step. 🔐 This updated app is not differ than the previous one in case of security & safegaurding users.👹👹💀💀 The other features of the app are best and easy to use it.⭐️⭐️⭐️⭐️⭐️,1,2025-03-06,CBE,Google Play,negative,0.8035405278205872,step verification update fake meaningless app give option use pin request step verification step update app differ previous case security safegaurding user feature app good easy use,UX
The app crashes too many times. It's a buggy app,1,2025-03-03,CBE,Google Play,negative,0.9997268319129944,app crash time buggy app,performance
So slow with Internet,1,2025-03-01,CBE,Google Play,negative,0.9990552067756652,slow internet,performance
It don't work,1,2025-02-28,CBE,Google Play,negative,0.999772608280182,work,other
"It's a shame,it can't performe well,you guys can't even fix a bug, It's getting unusable, shame shame shame 😡",1,2025-02-28,CBE,Google Play,negative,0.9996347427368164,shame performe guy fix bug get unusable shame shame shame,other
1 star because I have to visit my bank for new installation of the app and reactivation takes about 45 to 60 minutes with there long queue and system failures. Learn from telebire app and give options to customers to apt out of this ridiculous security feature. Second why is there no customization in the settings for displaying which account I want displayed in the first section rather that slide to my main account every time. You are making us pay a monthly subscription. Bare minimum is not it,1,2025-02-26,CBE,Google Play,negative,0.999330759048462,star visit bank new installation app reactivation take minute long queue system failure learn telebire app option customer apt ridiculous security feature second customization setting display account want display section slide main account time make pay monthly subscription bare minimum,"support, access, features"
Crashing frequently every time I try to log in.. it's so annoying,1,2025-02-25,CBE,Google Play,negative,0.9994563460350036,crash frequently time try log annoying,performance
Constantly crashing after new update,1,2025-02-24,CBE,Google Play,negative,0.9982088804244996,constantly crash new update,performance
"Why can't we use this app with Developer Mode turned on, when other big international banks apps allow it?",1,2025-02-22,CBE,Google Play,negative,0.998376965522766,use app developer mode turn big international bank app allow,other
Why is it so hard to use this app why don't you make it simple like other apps sometimes it doesn't function right,1,2025-02-22,CBE,Google Play,negative,0.9993847608566284,hard use app simple like app function right,other
couldnt update the app,1,2025-02-22,CBE,Google Play,negative,0.9958498477935792,not update app,other
"Too much commission and service charges, not fair at all this is stealing",1,2025-02-21,CBE,Google Play,negative,0.9996604919433594,commission service charge fair steal,other
Not working normally,1,2025-02-20,CBE,Google Play,negative,0.9995996356010436,work normally,other
"It lags before showing the transaction and you have to use the one in the sms message , why doesn't it work on the app it just says loading",1,2025-02-18,CBE,Google Play,negative,0.9993646740913392,lag show transaction use sms message work app say load,other
"It's very good in reminding the account numbers you have been used, but Need to show recipient history whenever you want to present it.or it has to have a search on options for a spesfic time you want to look for receipts with out going for account details at bank. if you lost your receipt without downloading it and need to look sometime a while you can't get in simple search on the app.",1,2025-02-15,CBE,Google Play,negative,0.9966446161270142,good remind account number need recipient history want present search option spesfic time want look receipt go account detail bank lose receipt download need look simple search app,other
"It crashes a lot; it doesn't work at all sometimes. By far, it is the worst mobile banking app I have ever used.",1,2025-02-15,CBE,Google Play,negative,0.9997912049293518,crash lot work far bad mobile banking app,performance
አለሚቱ ምስጋነዉ,1,2025-02-13,CBE,Google Play,negative,0.7850590348243713,አለሚቱ ምስጋነዉ,other
This app now not open what's problem? Please solve it,1,2025-02-13,CBE,Google Play,negative,0.9984076619148254,app open problem solve,other
በቅርቡ ችግር ተፈጥሯል ፣ Developer Option ካልተዘጋ አይሰራም፣ Developer Option ከተዘጋ ደግሞ ስልካችን ፍጥነት ለመታዘዝ ይዘገያል ፣ ከዚህ አማራጭ ሌላ ብትጠቀሙ ባይ ነኝ :: Android ላይ,1,2025-02-12,CBE,Google Play,negative,0.9661839604377748,በቅርቡ ችግር ተፈጥሯል developer option ካልተዘጋ developer option ከተዘጋ ደግሞ ስልካችን ፍጥነት ለመታዘዝ ይዘገያል ከዚህ አማራጭ ሌላ ብትጠቀሙ ባይ ነኝ android ላይ,other
It used to be better in the previous. But after the recent update it keeps crashing as soon as it logs in.. it needs to be fixed.,1,2025-02-11,CBE,Google Play,negative,0.9991856217384338,well previous recent update keep crash soon log need fix,performance
Can't even load our transaction history!!,1,2025-02-11,CBE,Google Play,negative,0.9994427561759948,load transaction history,other
CBE,1,2025-02-11,CBE,Google Play,positive,0.9966009855270386,cbe,other
It is stop working !,1,2025-02-10,CBE,Google Play,negative,0.9996010661125184,stop work,other
It shut down without warning,1,2025-02-10,CBE,Google Play,negative,0.9854583740234376,shut warn,other
በፊት ጥሩነበር አሁን ምኑን ነካችሁት ተበላሽቷል አይሰራም,1,2025-02-08,CBE,Google Play,negative,0.9200406670570374,በፊት ጥሩነበር አሁን ምኑን ነካችሁት ተበላሽቷል አይሰራም,other
Recent transactions doesn't load properly sometimes . And also when transferring to someone sometimes it says failed and but already transferred which might cause to double transfer,1,2025-02-07,CBE,Google Play,negative,0.99915611743927,recent transaction load properly transfer say fail transfer cause double transfer,"access, features"
"It used to work properly, but not anymore. I used to use the app from abroad; but these days, it kept saying ""unable to connect"" when I tried to check my balance and do transactions.",1,2025-02-07,CBE,Google Play,negative,0.9991911053657532,work properly anymore use app abroad day keep say unable connect try check balance transaction,access
Awash birr pro,1,2025-02-07,CBE,Google Play,negative,0.9963383674621582,awash birr pro,other
Good,1,2025-02-07,CBE,Google Play,positive,0.999816119670868,good,other
"After the new update I'm struggling to use this app,it suddenly crush or close automatically pls fix this problem",1,2025-02-05,CBE,Google Play,negative,0.9996976852416992,new update struggle use app suddenly crush close automatically pls fix problem,other
The app is crashing several times it's really annoying and sometimes it's says failed during different operations ?????? Please fix it!?,1,2025-02-04,CBE,Google Play,negative,0.999722182750702,app crash time annoying says fail different operation fix,"access, performance"
New update new version not working,1,2025-02-03,CBE,Google Play,negative,0.999659538269043,new update new version work,other
Too poor comparing to other countries.,1,2025-02-03,CBE,Google Play,negative,0.99960595369339,poor compare country,other
Waww,1,2025-02-02,CBE,Google Play,negative,0.9088252782821656,waww,other
"After the last two update, I am facing the worst experience with this app.",1,2025-02-02,CBE,Google Play,negative,0.999794065952301,update face bad experience app,other
Now it's crashing like crazy. It doesn't even open after a recent update.,1,2025-02-01,CBE,Google Play,negative,0.9995834231376648,crash like crazy open recent update,performance
without any reason it shows white screen and can't make transfers. Then when I went to branch then they reply go to the branch where you open your account.,1,2025-02-01,CBE,Google Play,negative,0.9968906044960022,reason show white screen transfer go branch reply branch open account,features
It used to be the best bank app in Ethiopia. But now using it is a terrible experience. For every transaction it shows an error message. Making a simple payment requires 5 to 6 trials to complete.,1,2025-01-31,CBE,Google Play,negative,0.9970723390579224,good bank app ethiopia terrible experience transaction show error message make simple payment require trial complete,features
it does not connect,1,2025-01-31,CBE,Google Play,negative,0.9997904896736144,connect,other
The worst I had to flight back to fix my app it need you to go back every 4 month not reliable for foreigners,1,2025-01-31,CBE,Google Play,negative,0.9997552037239076,bad flight fix app need month reliable foreigner,other
This should run for worst app of the year,1,2025-01-31,CBE,Google Play,negative,0.9997993111610411,run bad app year,other
Very bad,1,2025-01-31,CBE,Google Play,negative,0.999788463115692,bad,other
Bad,1,2025-01-31,CBE,Google Play,negative,0.999782383441925,bad,other
No manage beneficiary for my app,1,2025-01-30,CBE,Google Play,negative,0.999631404876709,manage beneficiary app,other
The latest updates crushes repeatedly on my Redmi Note 12 pro plus. If you could correct the issue.,1,2025-01-30,CBE,Google Play,negative,0.9994816184043884,late update crush repeatedly redmi note pro plus correct issue,other
Not worek recipient !!,1,2025-01-29,CBE,Google Play,negative,0.6950615644454956,worek recipient,other
"I’ve been using the CBE mobile banking app, and overall, I appreciate its features. However, I’ve noticed that when I turn on the developer options on my device, the app stops functioning properly. It would be great if you could look into this issue, as I often need to access developer settings for other applications. Thank you for your attention to this matter!",1,2025-01-29,CBE,Google Play,negative,0.9523299336433412,cbe mobile banking app overall appreciate feature notice turn developer option device app stop function properly great look issue need access developer setting application thank attention matter,other
"If you are living outside of Ethiopia you better not deposit large money into your mobile account. It can kick you off any time for some small reasons and the only way you can recover is either to go to the bank in person or you need to have access to your phone which is impossible if you are living outside Ethiopia. The only option you will be left with is, you can't use your money. At least it would be better if you can recover your account using email or other verification ...",1,2025-01-29,CBE,Google Play,negative,0.9994357228279114,live outside ethiopia well deposit large money mobile account kick time small reason way recover bank person need access phone impossible live outside ethiopia option leave use money well recover account email verification,other
good app,1,2025-01-28,CBE,Google Play,positive,0.9998493194580078,good app,other
Turning off the developers' options :( This is getting out of hand. We don't need to go through that...,1,2025-01-28,CBE,Google Play,negative,0.9956076741218568,turn developer option get hand need,other
I don't have an idea why our country soft wares needs some beroucracy?? How many peoples knew that about developer options N why is the new app forceing to disable that?? in my side i didn't get the apps as of b4.,1,2025-01-28,CBE,Google Play,negative,0.9992456436157228,idea country soft ware need beroucracy people know developer option n new app force disable app,other
Ti,1,2025-01-27,CBE,Google Play,positive,0.9913840293884276,ti,other
Alert The device developer Mode is turned on. Please turn off Developer Mode from device settings and try again to use this app OK What is this ?,1,2025-01-27,CBE,Google Play,negative,0.99681156873703,alert device developer mode turn turn developer mode device setting try use app ok,other
"አፕልኬሽኑ የተላከልኝን ብር ቶሎ አያሳይም ። ከ 24 ሰዓት በላይ ይቆያል። ይህ ለቢዝነስ በጣም አስቸጋሪ ሆኖብኛል። መፍትሔ አላችሁ ? This application is too slow & inactive to notify & record transactions, & hence I faced difficulty using it for businesses. would you fix it?",1,2025-01-25,CBE,Google Play,negative,0.9996609687805176,አፕልኬሽኑ የተላከልኝን ብር ቶሎ አያሳይም ከ ሰዓት በላይ ይህ ለቢዝነስ በጣም አስቸጋሪ መፍትሔ አላችሁ application slow inactive notify record transaction face difficulty business fix,performance
"The app is simply trash, the only thing that's keeping them afloat is that the woods for the other Ethiopian banks is even trashier",1,2025-01-25,CBE,Google Play,negative,0.999788224697113,app simply trash thing keep afloat wood ethiopian bank trashy,other
Data problems,1,2025-01-24,CBE,Google Play,negative,0.9996092915534972,data problem,other
it's not working properly,1,2025-01-24,CBE,Google Play,negative,0.9997792840003968,work properly,other
Make an option to send statement by email,1,2025-01-24,CBE,Google Play,negative,0.9493923783302308,option send statement email,other
It is simple and very accurate system,1,2025-01-24,CBE,Google Play,positive,0.999847412109375,simple accurate system,other
እብድ ባነክ፣ ይሄ ዝምብሎ Update ብቻ የሚለውን እና Update የማያደርገውን ሲስተማችሁን አስተካክሉት። አናዳጆች!,1,2025-01-23,CBE,Google Play,negative,0.8708980083465576,እብድ ይሄ ዝምብሎ update ብቻ የሚለውን እና update የማያደርገውን ሲስተማችሁን አናዳጆች,other
very inconvenience to use. unreliable and needs upgrades!!!,1,2025-01-23,CBE,Google Play,negative,0.9996125102043152,inconvenience use unreliable need upgrade,other
The worst bank in Ethiopia!,1,2025-01-22,CBE,Google Play,negative,0.9997764229774476,bad bank ethiopia,other
Annoying app Very poor,1,2025-01-22,CBE,Google Play,negative,0.9997809529304504,annoying app poor,other
"Why force-disable Developer Options in the latest update? I get that it's a security precaution, but it's overkill. Plenty of other financial apps do not require it and it's sometimes necessary for debugging/experimental reasons",1,2025-01-21,CBE,Google Play,negative,0.9979910850524902,force disable developer option late update security precaution overkill plenty financial app require necessary debug experimental reason,other
Excellent app,1,2025-01-20,CBE,Google Play,positive,0.9998356103897096,excellent app,other
"It was very convenient and cool to use, but for some reason it hasn't been working for me lately.",1,2025-01-20,CBE,Google Play,negative,0.8924981355667114,convenient cool use reason work lately,other
Breaks after a week,1,2025-01-19,CBE,Google Play,negative,0.9532126784324646,break week,other
This application is an unreliable application. Please do not use it. Hackers will enter through the application and take the certificate from CBE.,1,2025-01-18,CBE,Google Play,negative,0.9993547797203064,application unreliable application use hacker enter application certificate cbe,other
Saadahmuu,1,2025-01-18,CBE,Google Play,negative,0.9790335297584534,saadahmuu,other
The new update is seems force enable developer options on setting. And please fix the problem on iphones it only works for few days every time it get maintained at branches,1,2025-01-17,CBE,Google Play,positive,0.7807759046554565,new update force enable developer option set fix problem iphone work day time maintain branch,other
This app is the worst the current release doesn't work when developers mode is on and the transaction errors make you transfer money twice with errors,1,2025-01-13,CBE,Google Play,negative,0.9996973276138306,app bad current release work developer mode transaction error transfer money twice error,features
Developer mode?????,1,2025-01-12,CBE,Google Play,negative,0.995884120464325,developer mode,other
ዳኒል ትዛዙ,1,2025-01-11,CBE,Google Play,negative,0.7850590348243713,ዳኒል ትዛዙ,other
"I am facing difficulties related to network issues, while I have a good internet connection.",1,2025-01-11,CBE,Google Play,negative,0.8891944289207458,face difficulty relate network issue good internet connection,other
"Alert The device developer Mode is turned on. You can't use this app, Please turn off Developer Mode and try again. OK Why reason?",1,2025-01-11,CBE,Google Play,negative,0.9970587491989136,alert device developer mode turn use app turn developer mode try ok reason,other
8 expriance,1,2025-01-08,CBE,Google Play,negative,0.742670476436615,expriance,other
Why do i have to close the developer option to use it. After the update it's not even working unless I close the developer option,1,2025-01-07,CBE,Google Play,negative,0.9997721314430236,close developer option use update work close developer option,other
"You can not track your transaction history with correct date, time and order",1,2025-01-07,CBE,Google Play,negative,0.9983684420585632,track transaction history correct date time order,other
"Keep saying ""unable to connect"" after a normal phone update. Please update the app to match latest phone ""updates""",1,2025-01-07,CBE,Google Play,negative,0.9996213912963868,say unable connect normal phone update update app match late phone update,access
It's simple and easy to use,1,2025-01-06,CBE,Google Play,positive,0.999755561351776,simple easy use,UX
"i,ts not working, not good",1,2025-01-06,CBE,Google Play,negative,0.9998045563697816,ts work good,other
Please Add A dark theme😭😭,1,2025-01-06,CBE,Google Play,positive,0.9205663204193116,add dark theme,other
I have been using it for a years and it is beautiful in i the time have been using it,1,2025-01-06,CBE,Google Play,positive,0.9997625946998596,year beautiful time,other
Not functional when i need a transactions,1,2025-01-05,CBE,Google Play,negative,0.9996778964996338,functional need transaction,other
Best,1,2025-01-05,CBE,Google Play,positive,0.9997941851615906,well,other
Is not working for last update,1,2025-01-05,CBE,Google Play,negative,0.9989091157913208,work update,other
Why is it asking me for developer option,1,2025-01-05,CBE,Google Play,negative,0.9979903697967528,ask developer option,other
"We need more update soon! once I updated it, it authomatically stop working😭",1,2025-01-05,CBE,Google Play,negative,0.9997543692588806,need update soon update authomatically stop work,other
good,1,2025-01-04,CBE,Google Play,positive,0.999816119670868,good,other
Why did this application stopped working at the moment,1,2025-01-04,CBE,Google Play,negative,0.9997424483299256,application stop work moment,other
"The worst update seen in the bank industry for mobile banking. If you're unable to make it smooth and reliable at the same time , return it to previous version. It shows that you don't have the best expertise like other banks in the country.",1,2025-01-04,CBE,Google Play,negative,0.9997628331184388,bad update see bank industry mobile banking unable smooth reliable time return previous version show good expertise like bank country,access
It's not working,1,2025-01-03,CBE,Google Play,negative,0.9997857213020324,work,other
What's your problem with developer option ???,1,2025-01-02,CBE,Google Play,negative,0.9991196990013124,problem developer option,other
i can't access this app without turning off the developer option mode 🤬👎,1,2025-01-02,CBE,Google Play,negative,0.9775353074073792,access app turn developer option mode,other
Always their is a mal function,1,2025-01-02,CBE,Google Play,negative,0.9996755123138428,mal function,other
It slow and unused app,1,2025-01-02,CBE,Google Play,negative,0.999658226966858,slow unused app,performance
Not working,1,2025-01-02,CBE,Google Play,negative,0.999777853488922,work,other
Ok,1,2025-01-02,CBE,Google Play,positive,0.9997851252555848,ok,other
"The not allowing the app while ""developer options"" is on needs to be fixed! Why the hell is an app telling me what to do with my own OS??? This is an unnecessary fix that needs to be fixed!!!",1,2025-01-01,CBE,Google Play,negative,0.9998024106025696,allow app developer option need fix hell app tell os unnecessary fix need fix,other
"The inconvenience of this app is that it requires developer options to be turned off. This hinders my ability to customize my phone as some of the customization can only be done in the developer options. Also, it didn't have this requirement before, so why now? And please return it how it was because this should not be an issue. Also, when a transaction is completed before it used to allow me to save the image of the completed transaction, now it doesn't, so please fix that also.",1,2025-01-01,CBE,Google Play,negative,0.9995642304420472,inconvenience app require developer option turn hinder ability customize phone customization developer option requirement return issue transaction complete allow save image complete transaction fix,other
Worst update ever. It asked to disable the developer's option which they don't have any authority over. Most useless update ever. I wish I could give it a 0 star if it was possible. Why do you care about my phone's settings? Stupid developers. Should Switch to other banks.,1,2025-01-01,CBE,Google Play,negative,0.9998212456703186,bad update ask disable developer option authority useless update wish star possible care phone setting stupid developer switch bank,other
It ask me your developer mode is on and its not working for me???,1,2025-01-01,CBE,Google Play,negative,0.9996711015701294,ask developer mode work,other
The last update is useless!!,1,2024-12-31,CBE,Google Play,negative,0.9997901320457458,update useless,other
Security,1,2024-12-31,CBE,Google Play,positive,0.9965950846672058,security,other
Its good app,1,2024-12-31,CBE,Google Play,positive,0.9998613595962524,good app,other
The update isn't working,1,2024-12-31,CBE,Google Play,negative,0.9997337460517884,update work,other
"No text, no update.....",1,2024-12-31,CBE,Google Play,negative,0.9989455342292786,text update,other
It's really helpful,1,2024-12-31,CBE,Google Play,positive,0.9998189806938172,helpful,support
Weak update ! . b/c it stops when I want to set two step verification on. And it is only applicable if developer options are on. Why ??? Please tell me the reason 🙏,1,2024-12-31,CBE,Google Play,negative,0.9996737241744996,weak update b c stop want set step verification applicable developer option tell reason,other
Even it is a problem to update the app. Fix the issue first,1,2024-12-30,CBE,Google Play,negative,0.999527096748352,problem update app fix issue,other
Any,1,2024-12-30,CBE,Google Play,positive,0.9676826596260072,,other
Student,1,2024-12-29,CBE,Google Play,positive,0.9856825470924376,student,other
the worst app i have ever seen,1,2024-12-28,CBE,Google Play,negative,0.999790370464325,bad app see,other
Why we can't make a transfer with foreign banks?,1,2024-12-28,CBE,Google Play,negative,0.9979678988456726,transfer foreign bank,features
The worst update,1,2024-12-28,CBE,Google Play,negative,0.9997891783714294,bad update,other
Difficult to update,1,2024-12-27,CBE,Google Play,negative,0.9997279047966005,difficult update,other
You should be boa b/c the app active by self so please 🙏 arrange now and for activation service l was pay 20 birr this is unfair,1,2024-12-27,CBE,Google Play,negative,0.9997192025184632,boa b c app active self arrange activation service l pay birr unfair,features
Not used fully amount,1,2024-12-25,CBE,Google Play,negative,0.999546229839325,fully,other
CBE my device don't work,1,2024-12-23,CBE,Google Play,negative,0.999734103679657,cbe device work,other
